dunbi,student_id
348,162093
1685,2920
374,2980
517,3320
353,4160
972,5000
560,5300
558,5320
367,5340
479,5440
597,5580
514,5620
1431,5920
530,5960
577,6020
2517,6220
561,6740
784,6780
653,7060
754,7080
1092,7420
977,7480
1367,7500
511,7700
836,7780
1119,7800
879,8120
1450,8200
524,8280
632,8300
330,8540
768,8960
298,9300
2667,9440
318,9460
965,9560
764,9640
713,9740
430,9780
466,9800
810,9880
1005,9900
1473,10200
948,10380
1030,10420
1253,10440
612,10720
1244,10760
1077,10980
563,11000
906,11180
942,11360
824,11480
2027,11540
323,11640
288,11660
476,12280
896,12360
826,12440
426,12460
731,12480
546,12520
300,13040
2644,13280
1707,13400
488,13600
319,14000
2978,14040
900,14060
1536,14080
298,14160
1397,14460
1096,14500
572,14520
525,14720
344,14740
1083,14840
355,14980
877,15160
876,15360
1425,15460
450,15940
1109,16120
513,16220
870,16240
848,16500
480,16620
389,17140
785,17240
1692,17380
622,17600
1686,17860
361,18000
1465,18520
1099,18940
1003,19280
311,19520
1093,20320
944,20580
1269,21000
1008,21240
428,21460
513,21560
967,21740
1360,22040
631,22060
595,22260
416,22380
535,22420
327,22620
2318,22720
660,22780
758,22840
650,22880
547,22980
413,23040
777,23060
534,23080
382,23360
1002,23520
413,23640
728,23740
1580,23760
656,24180
1267,24380
431,24400
658,24480
1081,24500
1698,24600
634,24660
631,25080
287,26540
708,30440
651,31000
1212,32480
519,33340
373,33540
551,33720
1089,34000
824,34260
721,35580
1988,35640
1017,35920
319,36300
1083,37480
680,37960
1070,38960
1414,39400
288,39560
455,41220
776,50120
709,50700
566,50820
686,51380
1534,51480
898,51960
1332,52060
1999,52180
546,55800
1718,55920
1607,55960
822,56340
427,56760
2107,57780
379,58000
961,58020
1074,58080
1486,58100
784,59060
1039,61880
779,61900
991,71140
308,73360
496,74840
360,74960
550,75780
724,76340
1312,77100
974,77240
1948,77480
828,77520
1563,81300
353,82280
307,82800
683,83360
925,84680
947,84760
367,86960
300,88060
841,88840
1040,89000
779,89260
305,92480
1477,92940
836,93200
784,93580
361,93880
603,94240
452,98580
1592,98660
952,98880
736,99100
1091,99220
996,99280
660,99620
634,99780
286,100100
291,100140
550,100440
1072,100500
312,100800
1272,101020
1240,101260
1020,101540
579,101580
822,101920
1105,102260
1063,102340
1591,102520
1250,102560
607,102600
367,102640
1098,103220
1115,103280
1273,103460
953,103620
790,103680
985,103800
881,103940
736,104020
1184,104040
368,104240
881,104300
1428,104740
2045,104800
795,104840
587,104920
423,105140
464,105640
1229,105740
1084,105760
558,105780
488,106080
352,106200
2808,106320
687,106840
613,107040
344,107100
1056,107220
2818,107300
896,108040
1078,108200
558,108320
826,108380
616,108960
380,109060
1741,109080
1319,109100
1077,109120
840,109240
963,109260
691,109280
727,109360
3493,109420
1014,109480
655,109520
760,109620
2393,109640
674,109660
839,109700
2840,109800
901,109940
1492,109980
288,110020
783,110160
1732,110280
2033,110360
662,110480
875,110540
959,110580
653,110620
1614,110660
1047,110700
743,110720
537,110760
362,110780
1051,110920
1243,111040
1346,111200
884,111440
530,111680
950,111840
750,112160
883,112300
591,112360
1822,112500
1146,112800
595,112940
500,112960
841,113000
610,113540
1104,113820
1238,114380
302,114640
338,114660
1205,114800
314,114860
643,114880
886,115140
826,115260
1436,115300
1336,115340
552,115740
2150,115840
767,116420
2506,117060
682,117220
281,117300
620,117540
362,117560
777,118180
1087,118400
858,118440
907,118740
618,119440
1121,119480
877,119560
1976,119600
446,119620
1284,119720
414,119780
2589,119940
449,120020
1247,120240
1373,120360
508,120400
1550,120540
1272,120580
879,120640
634,120740
602,120820
321,120980
930,121080
948,121100
615,121180
387,121280
858,121340
869,121380
959,121400
709,121420
1425,121540
900,121580
1371,121600
1837,121620
920,121660
1500,121680
1480,121720
1122,121740
1622,121760
467,121780
930,121800
1047,121880
755,121960
1176,121980
1539,122020
319,122100
1007,122120
403,122180
518,122220
497,122260
766,122440
532,122480
658,122600
916,122640
1337,122780
860,122820
906,122860
1010,122960
879,122980
723,123000
498,123100
398,123220
297,123360
387,123380
1171,123400
904,123420
321,123440
1016,123460
684,123540
773,123620
593,123640
565,123780
316,123880
831,124080
1169,124160
376,124200
888,124220
1599,124320
2647,124340
482,124360
1086,124400
1304,124540
614,124680
